Z	L	D
“ቅድም ምስ ብንያም ሻሂ ቡን እናበልና ስለዝነበርና ሳናቲም ኣለኒ እዩ፤” ደገምኩሉ።	“ቕድም ምስ ብንያም ሻሂ ቡን ላበልና ስለልነበርና ሓጫውን እኒአኒ እዩ፤” ደገምኹሉ።	“ቕድም ምስ ብንያም ሻሂ ቡን ዳበልና ስለድነበርና ሓጫውን እንሀኒ ይኡ ፤” ደገምኹሉ።
ንሱ ታክሲ ተሳፊሩ ምስ ከደ ኣነ ንሕንዲተይ ደቃይቕ ፈዚዘ ኣብ ዘለኹዎ ጠጠው በልኩ።	እሱ ታክሲ ተሳፊሩ ብልኸደ ኣነ ልሕንዲተይ ደቓይቕ ፈዚዘ ኣብ ለለኹዎ ጠጠው በልኹ።	እሱ ታክሲ ትሳፍሩ ብድኸደ ኣነ ድንእሽተይ ደቓይቕ ፈዝዘ ኣብ ድንአኹዎ ደው ወልኹ።
ናይ ሮሆ ንዓይ ከምኡ ኢሉ ምሕታት ኣብ ርእሰይ ተመላሊሱኒ።	ናሮሆ ልኣየ ሃምኡ ኢሉ ምጥያቕ ኣብ ርእሰይ ተመላሊሱኒ።	ናሮሆ ድኣነ ሃምኡ ውሉ ምጥያቕ ኣብ ርእሰይ ትማላልሱኒ።
ስለዝሓለየለይ ፍሉይ ናይ ዕርክነት ስምዒት ፈጢሩለይ።	ስለልሓለየለይ ፍሉይ ናዕርክነት ስምዒት ፈጢሩለይ።	ስለድሓለየለይ ፍሉይ ናዕርክነት ስምዕት ፈጥሩለይ።
ሮሆ ናብ ቦሌ ቀፀለ፤ ኣነ ናብ ቤላ ቀፀልኩ።	ሮሆ ላብ ቦሌ ቐፀለ፤ ኣነ ላብ ቤላ ቐፀልኹ።	ሮሆ ዳብ ቦሌ ቓፅሉ፤ ኣነ ዳብ ቤላ ቓፀልኹ።
ኽፋል-15	ኽፋል-15	ኽፋል-15
መዘከርታይ ገሊፀ ግጥሚ ክሙክር ኢለ ዝፃሓፍኩዎም ናቐደም ታሪኽን ግጥሚን ምንባብ ጀመርኩ።	መዘከርታይ ገሊፀ ግጥሚ ክሙክር ኢለ ልፃሓፍኹዎም ናቐደም ታሪኽይ ግጥሚይ ምንባብ ጀመርኹ።	መዘከርታይ ገሊፀ ግጥሚ ክሙክር ብለ ድፃሓፍኹዎም ናቕደም ታሪኽይ ግጥሚይ ምንባብ ጀመርኹ።
ብዙሕ ግዜ ዝገበሩ ግጥምታትይ ስዲ ፅሑፋትይ እዮም።	ብዙሕ ግዜ ልገበሩ ግጥምታትይ ስዲ ፅሑፋትይ እዮም።	ብዙሕ ግዜ ድገበሩ ግጥምታትይ ስዲ ፅሑፋትይ ይኦም።
ግዜ ከመይ እዩ ዝጎዪ! ድሮ ካብ ዝምረቕ ክልተ ዓመት ክኾን ኢሉ።	ግዜ ሃመይ እዩ ልጎዪ! ድሮ ካብ ልምረቕ ኽልተ ዓመት ክኾን ኢሉ።	ግዜ ሃመይ ይኡ ድጎዪ! ድሮ ካ ድምረቕ ኽልተ ዓመት ክኾን ውሉ።
ኣብ መፅሓፍ ቅዱስ... ጠቢቡ ሰለሞን “ግዜ እንደ ንፋስ ይሮጣል፤” ይብል።	ኣብ መፅሓፍ ቅዱስ... ጠቢቡ ሰለሞን “ግዜ እንደ ንፋስ ይሮጣል፤” ይብል።	ኣብ መፅሓፍ ቅዱስ... ጠቢቡ ሰለሞን “ግዜ እንደ ንፋስ ይሮጣል፤” ይብል።
ተይሓሰብናዮ ግዜ ይነጉድሎ፤ ዕድመ እውን ከምኡ።	ተይሓሰብናዮ ግዜ ይነጉድሎ፤ ዕድመለ ሃምኡ።	ተይሓሰብናዮ ግዜ ይነጉድሎ፤ ዕድመለ ሃምኡ።
መዘከርታይ ናይ ግዜ ምስታዎተይ እያ።	መዘከርታይ ናግዜ ምስትያተይ እያ።	መዘከርታይ ናግዜ ምስትያተይ ይኣ።
ብዛዕባ ዕድመ ክሓስብ ከለኹ ሓደ ናይ መፅሓፍ ቅዱስ ታሪኽ ናብ ሓሳበይ ይመፅእ።	ብዛዕባ ዕድመ ትሓስብ ተለኹ ሓደ ናመፅሓፍ ቅዱስ ታሪኽ ላብ ሓሳበይ ይመፅእ።	ብዛዕባ ዕድመ ትሓስብ ተለኹ ሓደ ናመፅሓፍ ቅዱስ ታሪኽ ዳብ ሓሳበይ ይመፅእ።
ኣብ ኦሪት፤ ኤርሚያስ ነብዪ ኣብ ዝነበረሉ ዘመን ሓደ፤ “ኣቤሜሌክ” ዝባሃል ኢትዮጵያዊ ኣብ ኢዮርሳሌም ይነብር ነበረ።	ኣብ ኦሪት፤ ኤርሚያስ ነብዪ ኣብ ልነበረሉ ዘመን ሓደ፤ “ኣቤሜሌክ” ልባሃል ኢትዮጵያዊ ኣብ ኢዮርሳሌም ይነብር ነበረ።	ኣብ ኦሪት፤ ኤርሚያስ ነብዪ ኣብ ድነበረሉ ዘመን ሓደ፤ “ኣቤሜሌክ” ድባሃል ኢትዮጵያዊ ኣብ ኢዮርሳሌም ይነብር ነበረ።
ኤርሚያስ ነብዪ፤ “…ንዓይ ንባርያኻ ካብዙ ኩሉ ሰብ ዝበለፀ ፅቡቕ ዝገበረለይ…ንኢትዮጵያዊ ኣቤሜሌክ…ከይሓዝን ናይ ኢዮርሳሌም ምጥፋእ አይተርእዮ፤…ተረፈ ባሮክ” ኢሉ ናብ ጎይታ ይፅሊ ነይሩ።	ኤርሚያስ ነብዪ፤ “…ልኣየ ልባርያኻ ካብዙ ኹሉ ሰብ ልበለፀ ፅቡቕ ልገበረለይ…ልኢትዮጵያዊ ኣቤሜሌክ…ከይሓዝን ናኢዮርሳሌም ምጥፋእ አይተርእዮ፤…ተረፈ ባሮክ” ኢሉ ላብ ጎይታ ይፅሊ ነይሩ።	ኤርሚያስ ነብዪ፤ “…ድኣነ ድባርያኻ ካዙ ኹሉ ሰብ ድበለፀ ፅቡቕ ድገበረለይ…ድኢትዮጵያዊ ኣቤሜሌክ…ከይሓዝን ናኢዮርሳሌም ምጥፋእ አይተርእዮ፤…ተረፈ ባሮክ” ውሉ ዳብ ጎይታ ይፅልይ ነውሩ።
ፀሎቱ ሰሚዕዎ፤ ኢዮርሳሌም ክትዓኑ ከላ እግዚኣብሄር ንኣቤሜሌክ ሕማቕ ክርኢ ስለዘይደለዮ ኣብ እግሪ ቆፅሊ በለስ ንስሳን ሽዱሽተን ዓመታት ከም ሓንቲ ለይቲ፣ ከም ሓንቲ ብርታ ደቂሱ ይብል።	ፀሎቱ ሰሚዕዎ፤ ኢዮርሳሌም ትዓኑ ተላ እግዚኣብሄር ልኣቤሜሌክ ሕማቕ ክርኢ ስለለይደለዮ ኣብ እግሪ ቖፅሊ በለስ ልስሳይ ሽዱሽተይ ዓመታት ሃም ሓንቲ ለይቲ፣ ሃም ሓንቲ ብርታ ሃሪሱ ይብል።	ፀሎቱ ሰምዕዎ፤ ኢዮርሳሌም ትዓንይላ እግዚሃር ድኣቤሜሌክ ሕማቕ ክርኢ ስለደይደለዮ ኣብ እግሪ ቖፅሊ በለስ ድስሳይ ሽዱሽተይ ዓመታት ሃም ሓንቲ ለይቲ፣ ሃም ሓንቲ ብርታ ሃሪሱ ይብል።
ደቂሱ ተላዒሉ እውን ድቃስ ኣይፀገበን ይብል።	ሃሪሱ ተልዒሉለስ ህራስ የፀገበይ ይብል።	ሃሪሱ ትልዕሉለ ህራስ የፀገበይ ይብል።
ኣብ ቐረባ ግዜ ዝወፀአ ሓበሬታ ከም ዝመላኽቶ፤ ኣብ ኢትዮጵያ ናይ ሓደ ሰብ ማእኸላይ ናይ ምንባር ዕድመ ስሳን ኣርባዕተን ዓመት እዩ ይብል።	ኣብ ቐረባ ግዜ ልወፀአ ሓበሬታ ሃም ለመላኽቶ፤ ኣብ ኢትዮጵያ ናሓደ ሰብ ማእኸላይ ናምንባር ዕድመ ስሳይ ኣርባዕተይ ዓመት እዩ ይብል።	ኣብ ቓረባ ግዜ ድወፀአ ሓበሬታ ሃም ደማላኽቶ፤ ኣብ ኢትዮጵያ ናሓደ ሰብ ማእኸላይ ናምንባር ዕድመ ስሳይ ኣርባዕተይ ዓመት ይኡ ይብል።
ስለዚ ኣቤሜሌክ ናትና ናይ ሐዚ ዕድመ ብድቃስ ወዲኡዎ ማለት እዩ።	ስለዚ ኣቤሜሌክ ናይና ናኸዚ ዕድመ ብህራስ ወዲኡዎ ማለት እዩ።	ስለዚ ኣቤሜሌክ ናይና ናኸዚ ዕድመ ብህራስ ወድኡዎ ማለት ይኡ ።
ንሓንቲ ብርታ ኢና ንጭነቕ ዘለና?	ልሓንቲ ብርታ ኢና ንጭነቕለና?	ድሓንቲ ብርታ የና ንጭነቕለና?
ንሓንቲ ብርታ ኢና ክንባላዕ ንብል ዘለና?	ልሓንቲ ብርታ ኢና ህንባላዕ ልንብለና?	ድሓንቲ ብርታ የና ህንባላዕ ድንብለና?
ንሓንቲ ብርታ ኢና እናተካሰስና ንውዕል ዘለና?	ልሓንቲ ብርታ ኢና ላተኻሰስና ንውዕል ለለና?	ድሓንቲ ብርታ የና ዳትኻሰስና ንውዕልለና?
ንሓንቲ ብርታ እዩ እዙ ኩሉ ዓመፅን ህውከትን?	ልሓንቲ ብርታ እዩ ዙኹላይ ዓመፅይ ህውከትይ?	ድሓንቲ ብርታ ይኡ ዚኹሉ ዓመፅይ ህውከትይ?
ንሓንቲ ድቃስ ዘይተፅግብ ስሳን ሽዱሽተን ዓመት እዩ እዚ ኩሉ ገልታዕታዕ?	ልሓንቲ ህራስ ለይተፅግብ ስሳይ ሽዱሽተይ ዓመት እዩ ዙኹላይ ገልታዕታዕ?	ድሓንቲ ህራስ ደይታፅግብ ስሳይ ሽዱሽተይ ዓመት ይኡ ዚኹሉ ገልታዕታዕ?
ዕድመ ሓፂር እዩ።	ዕድመ ሓፂር እዩ።	ዕድመ ሓጭር ይኡ ።
ናይ ኣቤሜሌክ ድቃስ…ናትና ዕድመ!	ናኣቤሜሌክ ህራስ…ናይና ዕድመ!	ናኣቤሜሌክ ህራስ…ናይና ዕድመ!
ዋላ ናይ ግጥሚ ውህብቶ አይሃልወኒ ናይ ሮሆ፣ ናይ ቃስያ፣ ናይ ቅዱስ፣ ናይ ብንያም፣ ናይ ትርሓስ ሓደ ሓደ ግዜ ዝፅሕፍዎ ግጥሚ ደስ ስለዝብለኒ ኣነ እውን ክሙክር ዝፃሓፍኩዎም ግጥምታት ከንብብ መዘከርታይ ገለፅኩዎ።	ዋላ ናግጥሚ ውህብቶ አይሃልወኒ ናሮሆ፣ ናቃስያ፣ ናቅዱስ፣ ናብንያም፣ ናትርሓስ ሓደ ሓደ ግዜ ልፅሕፍዎ ግጥሚ ደስ ስለልብለኒ ኣነለ ክሙክር ልፃሓፍኹዎም ግጥምታት ከንብብ መዘከርታይ ገለፅኹዎ።	ዋላ ናግጥሚ ውህብቶ አይሃልወኒ ናሮሆ፣ ናቃስያ፣ ናቅዱስ፣ ናብንያም፣ ናትርሓስ ሓደ ሓደ ግዜ ድፅሕፍዎ ግጥሚ ደስ ስለድብለኒ ኣነለ ክሙክር ድፃሓፍኹዎም ግጥምታት ካንብብ መዘከርታይ ገለፅኹዎ።
ካብቶም ኣብ መዘከርታይ ዝፃሓፍኹዎም ሓፀርቲ ግጥምታት ናይ መጀመርታ ናይ ሮሆ ግጥሚ እዩ።	ካብቶም ኣብ መዘከርታይ ልፃሓፍኹዎም ሓፀርቲ ግጥምታት ናመጀመርታ ናሮሆ ግጥሚ እዩ።	ካቶም ኣብ መዘከርታይ ድፃሓፍኹዎም ሓጨርቲ ግጥምታት ናመጀመርታ ናሮሆ ግጥሚ ይኡ ።
ምስ ሮሆ ኣብ ኣራት ኪሎ ከባቢ ጫማና እናፅረግና ሓደ ለማኒ ንብዙሕ ደቒቓታት ምስ ለመኑና፤ ኣነ...ቕድድድ ዝበለት...ኣብ ጁባይ ንብዙሕ ግዜ ዝፀነሐት ቅርሺ ኣውፂአ ሃብኩዎም።	ምስ ሮሆ ኣብ ኣራት ኪሎ ከባቢ ጫማና ላፅረግና ሓደ ለማኒ ልብዙሕ ደቒቓታት ብልለመኑና፤ ኣነ...ቕድድድ ልበለት...ኣብ ጁባይ ልብዙሕ ግዜ ልፀነሐት ቕርሺ ኣውፂአ ሃብኹዎም።	ምስ ሮሆ ኣብ ኣራት ኪሎ ከባቢ ጫማና ዳፅረግና ሓደ ለማኒ ድብዙሕ ደቒቓታት ብድለመኑና፤ ኣነ...ቕድድድ ድበለት...ኣብ ጁባይ ድብዙሕ ግዜ ድፀነሐት ቕርሺ ኣውፅአ ሃብኹዎም።
ሮሆ ናይዞም ስብኣይ ንብዙሕ ግዜ እናለመንዎ ዝፀንሑ፤ ምስቱ ዓቕሚ ስኢኖም ማዓንጥኦም ስሕግ ምባሉ ሪኡ...ብውሽጡ ዝተሰመዖ ነገር ዝትገልፅ ሓንቲ ብቃሉ ዝዝክራ ግጥሚ ክገጥም ሰማዕኩዎ።	ሮሆ ናዞም ስብኣይ ልብዙሕ ግዜ ላለመንዎ ልፀንሑ፤ ምስቱ ዓቕሚ ስኢኖም ማዓንጥኦም ስሕግ ምባሉ ሪኡ...ብውሽጡ ልተሰመዖ ነገር ልትገልፅ ሓንቲ ብቃሉ ልዝክራ ግጥሚ ትገጥም ሰማዕኹዎ።	ሮሆ ናዞም ስብኣይ ድብዙሕ ግዜ ላለመንዎ ድፀንሑ፤ ምስቲ ዓቕሚ ስኢኖም ማዓንጣኦም ስሕግ ምባሉ ሪኡ...ብውሽጡ ድትሰመዖ ነገር ድትገልፅ ሓንቲ ብቃሉ ድዝክራ ግጥሚ ክገጥም ሰማዕኹዎ።
ሮሆ ግጥሚ ክገጥም ብዙሕ ሰሚዐዮ አይፈልጥን።	ሮሆ ግጥሚ ትገጥም ብዙሕ ሰሚዐዮ አይፈልጥይ።	ሮሆ ግጥሚ ክገጥም ብዙሕ ሰሚዐዮ አይፈልጥይ።
ድምፁ ተላሕሲሱ ክልምን ጭላቖ	ድምፁ ተላሕሲሱ ክልምን ጭላቖ	ድምፁ ትላሕሲሱ ክልምን ጭላቖ
ጠረሾ ሂበምዎ ከልቢ ዝናዓቖ።	ጠረሾ ሂበምዎ ኻልቢ ልናዓቖ።	ጠረሾ ሂበሞ ኻልቢ ድንዓቖ።
ዋላ ክብሮም ካብ ሓደ ግዜ ኣብ ዓዲ ሓውሲ ንኣዝማሪ ዘቐበሎ ግጥሚ ወፃኢ፤ ግጥሚ ክገጥም ብዙሕ ሰሚዐዮ አይፈልጥን።	ዋላ ክብሮም ካብ ሓደ ግዜ ኣብ ዓዲ ሓውሲ ልኣዝማሪ ለቐበሎ ግጥሚ ወፃኢ፤ ግጥሚ ትገጥም ብዙሕ ሰሚዐዮ አይፈልጥይ።	ዋላ ክብሮም ካ ሓደ ግዜ ኣብ ዓዲ ሓውሲ ድኣዝማሪ ዳቐበሎ ግጥሚ ወፃኢ፤ ግጥሚ ክገጥም ብዙሕ ሰሚዐዮ አይፈልጥይ።
ቀልዲ ዝሓዘሉ ወግዕታቱን ሓሳባቱን እምበር ግጥሚ ሰሚዐሉ አይፈልጥን።	ቀልዲ ልሓዘሉ ወግዕታቱይ ሓሳባቱይ እምበይ ግጥሚ ሰሚዐሉ አይፈልጥይ።	ቀልዲ ድሓዘሉ ወግዕታቱይ ሓሳባቱይ እምበይ ግጥሚ ሰሚዐሉ አይፈልጥይ።
ክብሮም ዓርከይ እናቐለደ “ንስኻ’ኮ መዘከርታ ፃሓፍኩ ገጠምኩ ኢኻ ዝትብል” ኢሉ።	ክብሮም ዓርከይ ላቐለደ “ስኻ’ኮ መዘከርታ ፃሓፍኹ ገጠምኹ ኢኻ ልትብል” ኢሉ።	ክብሮም ዓርከይ ዳቐለደ “ስኻ’ኮ መዘከርታ ፃሓፍኹ ገጠምኹ የኻ ድትብል” ውሉ።
 ናይ ሓዳስ ዝሓዛ ዓርኩ ፎቶግራፍ ከርእየኒ ዋሌቱ ከውፅእ ዝወደቐቶ ወረቐት ሃበኒ።	 ናሓዳሽ ልሓዛ ዓርኩ ፎቶግራፍ ከርእየኒ ዋሌቱ ከውፅእ ልወደቐቶ ወረቐት ሃበኒ።	ናሓዳሽ ድሓዛ ዓርኩ ፎቶግራፍ ካርይአኒ ዋሌቱ ካውፅእ ድወደቐቶ ወረቐት ህቡኒ።
ከምዙይ ዝብል ግጥሚ ሒዛ ነበረት።	ሃምዙይ ልብል ግጥሚ ሒዛ ነበረት።	ሃምዙይ ድብል ግጥሚ ሕዛ ነብራ።
ንሳ ዝትደሊ ሓፂር መቀርቀሪ	እሳ ልትደሊ ሓፂር መሀርሀሪ	እሳ ድትደሊ ሓጭር መሸጎሪ
ሒዙላ መፂኡ ኣድጊ መባረሪ።	ሒዙላ መፂኡ ኣድጊ መባረሪ።	ሕዙላ መፅኡ ኣርጊ መባረሪ።
ክብሮም ቅኔ ዝመስል ግጥሚ (ባዕሉ ይኹን ካሊእ ዝፃሓፎ) ኣብ መዘከርታይ ኣስፈርኩሉ።	ክብሮም ቅኔ ልመስል ግጥሚ (ባዕሉ ይኹን ኻሊእ ልፃሓፎ) ኣብ መዘከርታይ ኣስፈርኹሉ።	ክብሮም ቅኔ ድመስል ግጥሚ (ባዕሉ ይኹን ኻልእ ድፃሓፎ) ኣብ መዘከርታይ ኣስፈርኹሉ።
ክሳብ ሐዚ ግጥሙ መን ከም ዝሃቦ ክጥይቆ እየ እናበልኩ ከይጠየቅኩዎ ተሪፈ።	እስካብ ኸዚ ግጥሙ መን ሃም ልሃቦ ክጥይቖ እየ ላበልኹ ተይጠየቕኹዎ ቐርየ።	ክሻዕ ኸዚ ግጥሙ መን ሃም ድሃቦ ክጥይቖ ይአ ዳበልኹ ተደይጠየቕኹዎ ቓርየ።
ንሱ፤ ንዓይ ግጥሚ ከም ዝሃበኒለስ ዝዝክሮ አይመስለንን።	እሱ፤ ልኣየ ግጥሚ ሃም ልሃበኒለስ ልዝክሮ አይመስለንይ።	እሱ፤ ድኣነ ግጥሚ ሃም ድሃበኒ ድዝክሮ አይመስለንይ።
ኣብ ግጥሙ...ምስ ናቱ ብዙሕ ግዜ ዝገብሮም ውፅእ ዝበሉ ተግባራት...ቅንያዊ መልእኽቲ ዝሓዘት ምዃና ግን ናይ ባዕሉ ግጥሚ ክኾን ይኽእል እዩ ኢለ ይግምት።	ኣብ ግጥሙ...ምስ ናዩ ብዙሕ ግዜ ልገብሮም ውፅእ ልበሉ ተግባራት...ቅንያዊ መልእኽቲ ልሓዘት ምዃና ግና ናባዕሉ ግጥሚ ክኾን ይኽእል እዩ ኢለ ይግምት።	ኣብ ግጥሙ...ምስ ናዩ ብዙሕ ግዜ ድገብሮም ውፅእ ድበሉ ተግባራት...ቅንያዊ መልእኽቲ ድሓዘት ምዃና ግና ናባዕሉ ግጥሚ ክኾን ይኽእል ይኡ ብለ ይግምት።
ቃስያ ኮላይ ድሕሪ ንትርሓስ ምስ ተኽላይ ምትዕራቕና ናይኣቦ ቶሎሳን ማማ ጫልቱን መኻናት ምዃን ካብ ርእሳ ክጠፍእ ኣይክኣለን።	ቃስያ ኾላይ ድሕሪ ልትርሓስ ምስ ተኽላይ ምትዕራቕና ናኣቦ ቶሎሳይ ማማ ጫልቱይ መኻናት ምዃን ካብ ርእሳ ክጠፍእ የኻኣለይ።	ቃስያ ለ ድሕሪ ድትርሓስ ምስ ተኽላይ ምትዕራቕና ናኣቦ ቶሎሳይ ማማ ጫልቱይ መኻናት ምዃን ካ ርእሳ ክጠፍእ የኻኣለይ።
ማማ ጫልቱ ብጣዕሚ ኢየን ኣሕዚንናኣ።	ማማ ጫልቱ ብጣዕሚ ኢየን ኣሕዚነናኣ።	ማማ ጫልቱ ብጣዕሚ ይአን ኣሕዚነናኣ።
ንትርሓስ ክነታዓርቕ ዝተዓዘብናዮ ኣብ ማማ ጫልቱ ዝነበረ ናይልቢ ስብራት ንተዓዛቢ ኮላይ ዝነክእ እዩ።	ልትርሓስ ክነታዓርቕ ልተዓዘብናዮ ኣብ ማማ ጫልቱ ልነበረ ናልቢ ስብራት ልተዓዛቢ ኾላይ ልነክእ እዩ።	ድትርሓስ ክናታዓርቕ ድትዓዘብናዮ ኣብ ማማ ጫልቱ ድነበረ ናልቢ ስብራት ድትዓዛቢ ለ ድነክእ ይኡ ።
ኣብ ማሕበረሰብና…መኻን ሰብ…ካብቱ ፈጣሪ ብውላድ ዝብድሎስ ሰብ እናሓመየ፣ እናሸምጠጠ ዘሸቁርሮ ይገድድ።	ኣብ ማሕበረ ሰብና…መኻን ሰብ…ካብቱ ፈጣሪ ብውላድ ልብድሎስ ሰብ ላሓመየ፣ ላሸምጠጠ ለሸቑርሮ ይገድድ።	ኣብ ማሕበረ ሰብና…መኻን ሰብ…ካፍቲ ፈጣሪ ብውላድ ድብድሎስ ሰብ ድሓመዮ፣ ዳሸምጥጦይ ዳሸቑርሮይ ይገድድ።
ዓበይቲ ወለድና “ዘይወለደ ሰብ ከመይ ተወፂዑ፤ ዓለም ውላድ እዩ ትርፋ…ካሊእ ኩሉ ከንቱ እዩ፤” እናበሉ ናይሂወት ትዕዝብቶም ኣብ ዘውግዕሉ ማሕበረ ሰብ፤ መኻን ሰብ እንታይ ዓይነት ናይውሽጢ ሓዘን ክስመዖ ከም ዝኽእል ብቐሊሉ ዝግመት እዩ።	ዓበይቲ ወለድና “ለይወለደ ሰብ ሃመይ ተወፂዑ፤ ዓለም ውላድ እዩ ትርፋ…ኻሊእ ኹሉ ከንቱ እዩ፤” ላበሉ ናሂወት ትዕዝብቶም ኣብ ለውግዕሉ ማሕበረ ሰብ፤ መኻን ሰብ ታይ ዓይነት ናውሽጢ ሓዘን ክስመዖ ሃም ልኽእል ብቐሊሉ ልግመት እዩ።	ዓበይቲ ወለድና “ደይወለደ ሰብ ሃመይ ትወፅዑ፤ ዓለም ውላድ ይኡ ትርፋ…ኻልእ ኹሉ ከንቱ ይኡ ፤” ዳበሉ ናሂወት ትዕዝብቶም ኣብ ዳዋግዕሉ ማሕበረ ሰብ፤ መኻን ሰብ ታዓይነት ናውሽጢ ሓዘን ክስመዖ ሃም ድኽእል ብቐልሉ ድግመት ይኡ ።
ቃስያ ንማማ ጫልቱ ካብ ብጣዕሚ ምሕዛና ዝተልዓለ፤ ሓደ ግዜ ኣብ ሮሚና ካፌ ትኩስ ነገር እናሰተና እናውጋዕና ከለና ሃንደበት ቢሮ ካብ ቦርሳኣ ኣውፂኣ ንዝኾኑ ደቒቓታት ተደፊኣ ምስፃሓፈት “እዙይ ይገልፀን ዶ?	ቃስያ ልማማ ጫልቱ ካብ ብጣዕሚ ምሕዛና ልተልዓለ፤ ሓደ ግዜ ኣብ ሮሚና ካፌ ትኩስ ነገር ላሰተና ላውጋዕና ላሃለና ሃንደበት ቢሮ ካብ ቦርሳኣ ኣውፂኣ ልልኾኑ ደቒቓታት ተደፊኣ ብልፃሓፈት “እዙይ ይገልፀን ዶ?	ቃስያ ድማማ ጫልቱ ካ ብጣዕሚ ምሕዛና ድትልዓለ፤ ሓደ ግዜ ኣብ ሮሚና ካፌ ትኩስ ነገር ዳሰተና ዳዋጋዕና ትንሀና ሃንደበት ቢሮ ካ ቦርሳኣ ኣውፂኣ ድድኾኑ ደቒቓታት ትደፍኣ ብድፃሓፈት “እዚይ ይገልፀን ዶ?
” ኢላ ብሕጫር ወረቐት ሃበትኒ።	” ኢላ ብሕጫር ወረቐት ሃበትኒ።	” ብላ ብሕጫር ወረቐት ሃበትኒ።
ግጥማ ሒዘ ዝተወሰነ ግዜ ተመሲጠ ደጋጊመ እናንብብኩ ሪኢቶ ክህባ ምስተፀበየትኒ፤ ብግጥመይ ክሕጭጨኒ እዩ ስለዝትብል...ንእሽተይ ሽቑርር በለት።	ግጥማ ሒዘ ልተወሰነ ግዜ ተመሲጠ ደጋጊመ ላንብብኹ ሪኢቶ ክህባ ብልተፀበየትኒ፤ ብግጥመይ ክሕጭጨኒ እዩ ስለልትብል...ንኡሽተይ ሽቑርር በለት።	ግጥማ ሒዘ ድትወሰነ ግዜ ትመስጠ ደጋግመ ዳንብብኹ ሪኢቶ ክህባ ብድትፀበየትኒ፤ ብግጥመይ ክሕጭጨኒ ይኡ ስለድትብል...ንኡሽተይ ሽቑርር በለት።
ከይተግኒ ሓቦ ፍረ ውሒድዋ	ከይተግኒ ሓቦ ፍረ ውሒድዋ	ከይታግኒ ሓቦ ፍረ ውሕድዋ
ካብቱ ናይፈጣሪ ናይሰብ ገዲድዋ።	ካብቱ ናፈጣሪ ናሰብ ገዲድዋ።	ካፍቲ ናፈጣሪ ናሰብ ገድድዋ።
ቅዱስ ናብ መቐለ ብኣየር እናኸድና ብዛዕባ ሮሆን ክብራን ብዙሕ ምስ ኣውጋዕና ኣብ ኣየር ከለና ንዝኾኑ ደቒቓታት ወረቐት ሒዙ ፅሕፍ ፅሕፍ ኣበለ።	ቅዱስ ላብ መቐለ ብኣየር ላኸድና ብዛዕባ ሮሆይ ክብራይ ብዙሕ ብለውጋዕና ኣብ ኣየር ላሃለና ልልኾኑ ደቒቓታት ወረቐት ሒዙ ፅሕፍ ፅሕፍ ኣበለ።	ቅዱስ ዳብ መቐለ ብኣየር ዳኸድና ብዛዕባ ሮሆይ ክብራይ ብዙሕ ብደዋጋዕና ኣብ ኣየር ትንሀና ድድኾኑ ደቒቓታት ወረቐት ሕዙ ፅሕፍ ፅሕፍ ኣበለ።
ንሮሆ ዝሓለየ መሲሉ “እዚኣ ሓዛ ኢኻ፤” ኢሉ ሃበኒ።	ልሮሆ ልሓለየ መሲሉ “እዚኣ ሓዛ ኢኻ፤” ኢሉ ሃበኒ።	ድሮሆ ድሓለየ መስሉ “እዚኣ ሓዛ የኻ፤” ውሉ ሃበኒ።
ብእዚ ግጥሚ እንታይ ንምባል ከም ዝደለየ ግን ክሳብ ሐዚ ኣይተረደአንን።	ብ’ዙ ግጥሚ ታይ ልምባል ሃም ልደለየ ግና እስካብ ኸዚ የተረደአንይ።	ብ’ዚ ግጥሚ ታድምባል ሃም ድደለየ ግና ክሻዕ ኸዚ የተረደአንይ።
ናብ ብዙሕ ሓሳብ ዝሽረፍ ግጥሚ እዩ።	ላብ ብዙሕ ሓሳብ ልሽረፍ ግጥሚ እዩ።	ዳብ ብዙሕ ሓሳብ ድሽረፍ ግጥሚ ይኡ ።
ወዲን ጓልን እዩ ባቡርን ሃዲድን	ወዲይ ጓልይ እዩ ባቡርይ ሃዲድይ	ወዲይ ጓልይ ይኡ ባቡርይ ሃዲድይ
ወዲ ወዲ እዩ ተደለኺ ክዲ።	ወዲ ወዲ እዩ ተደለኺ ኽዲ።	ወዲ ወዲ ይኡ ተደለኺ ኽዲ።
ኣነ፤ ትርሓስ ምስ ተኽላይ ዘጋጠማ ነገር ክገልፅ ደልየ፤ ግጥሚ ክፅሕፍ ሞኪረ ነይረ ኮይኑ ግን ናይግጥሚ ክእለት ካበይ ይምፃእ!።	ኣነ፤ ትርሓስ ምስ ተኽላይ ለጋጠማ ነገር ክገልፅ ደልየ፤ ግጥሚ ክፅሕፍ ሞኪረ ነይረ ኾይኑ ግና ናግጥሚ ኽእለት ካበይ ይምፃእ!።	ኣነ፤ ትርሓስ ምስ ተኽላይ ድጋጠማ ነገር ክገልፅ ደልየ፤ ግጥሚ ክፅሕፍ ሞክረ ነብረ ኾይኑ ግና ናግጥሚ ኽእለት ካበይ ይምፃእ።
